2000 200 200
1105 1049 51641 160444
602 450 39055 150062
1957 139 12869 -195625
1821 779 5256 145420
1556 784 102189 32107
202 1112 23869 -151631
1537 1191 139293 -56411
1463 1997 195335 150176
905 1338 157009 -110165
808 1491 190775 47520
439 1314 68827 -109669
786 1011 86528 -90800
1713 926 60752 -85234
1521 1594 86756 -81139
911 1212 3505 58608
118 448 199453 146048
277 726 72288 -162754
1609 741 82434 26074
1652 1715 29933 20391
65 1016 68010 75197
210 1476 170904 171860
645 1998 86908 76064
650 679 159116 100539
1420 1142 131685 133384
260 793 132190 -133942
1751 1567 26560 -64448
985 1733 166445 87033
1225 1425 73872 -196643
540 709 126790 127229
1096 1339 78135 36590
95 1139 57801 154592
62 922 150847 149811
1296 523 139746 134147
1771 283 15295 -146182
92 464 35244 185958
1764 1793 180058 130307
864 1596 64222 -42853
1104 1298 7893 190462
1649 498 117356 -47532
1884 1785 13512 107663
1512 1533 79347 46483
481 667 140258 188748
632 391 13867 -7934
1648 374 140186 107869
1338 1631 102443 -154601
537 2 87582 161530
1686 849 171905 -72944
1896 1713 118374 -130630
1593 189 168306 42406
432 1427 30820 -162666
10 984 59343 -1663
1279 1945 145600 45131
1888 1409 113083 161444
851 1156 67416 82241
1058 291 137875 -102000
1693 482 27297 -89136
1745 1811 36389 -64566
1706 1970 158415 -105755
1732 564 111599 -28020
1984 1902 133225 -129523
1551 1382 25677 119764
379 1616 124602 -69566
1466 514 94313 -23349
707 1644 97043 52796
1880 94 121076 49999
1978 25 182182 56311
1637 1697 37501 -60066
172 1774 42280 -75970
1333 1681 22187 45955
791 1599 98961 65741
47 888 120432 30376
1160 1264 86358 152130
1710 1147 163290 16987
525 885 133104 -33027
559 666 179006 -173577
1828 1419 54020 -81434
563 1884 97503 -182567
57 54 20829 15140
1247 381 73631 196895
1558 1039 11638 -148297
1877 1259 94040 -192475
566 92 166978 -9606
1894 719 60968 -179492
1557 460 191594 -98517
2000 1979 171065 -71655
301 1667 7960 165484
1522 1871 6324 -68342
1091 1577 37509 150592
1863 718 94490 191790
376 27 5077 -94906
162 61 17971 -85813
1028 1736 28187 21218
44 80 93592 3215
1543 392 75359 -47921
1411 55 67689 122199
732 1662 118296 -136479
1261 1740 60708 -79427
78 575 56212 20840
165 1996 27621 -87098
582 152 94758 -85040
355 1113 159978 -58658
102 90 111864 85009
635 1510 65162 59515
1581 351 96262 -114760
1739 49 157831 -31791
1369 103 133235 -112035
873 458 171840 -192059
1928 1766 35125 -148565
839 1460 34222 78295
1459 1724 131711 44789
574 223 159650 12079
170 246 95716 25044
81 979 99648 132061
211 1850 105189 188291
546 1407 90868 -199468
174 1886 45760 -22519
1389 1542 3023 -112620
175 1812 143039 85240
978 357 196315 24539
1770 1053 93358 68128
475 1558 52978 -189391
1217 1102 11696 128688
1401 1802 191072 -181430
245 615 172479 -163283
125 1037 87410 30527
1202 1194 104362 74024
1080 1089 156972 -44322
1871 1688 122501 -35925
688 1639 129894 142607
1391 581 68362 71846
119 798 85813 -47194
1241 1116 31185 -199660
1908 554 120927 -19109
1180 897 83089 109887
1509 1701 29851 93489
264 1685 115576 -86875
558 1350 142751 -5555
122 1195 3438 -132949
1041 1666 160533 -48371
120 1377 134503 -101307
421 1320 163992 20085
1907 1421 75705 -32387
576 1717 104271 57223
1785 1152 28274 -9565
1256 960 1292 59432
506 1547 67533 -39828
1139 990 2766 -159877
725 1975 177294 -131979
1814 1931 146202 -73197
1044 1337 77635 119658
617 620 81919 127128
1743 1977 161512 129354
1132 1437 143604 167119
1 780 34063 -55177
253 278 135194 -198431
221 293 8272 34981
1664 725 182302 63425
665 1399 151789 -123385
667 1005 153520 -10619
959 1412 54450 -13814
925 1228 106971 195028
844 1550 71608 -145729
195 432 32768 151754
1901 642 149754 27552
562 364 19766 -49044
519 1787 128438 52266
1804 1935 172923 -5121
630 1200 23705 188222
907 1230 161893 78671
968 1922 158609 -29301
134 598 100672 -175448
961 668 135378 132070
1963 1642 74866 46553
874 1209 22064 -165393
96 313 186586 -94523
1708 635 139199 -78500
600 1388 152536 -68483
1052 1788 44808 -14060
94 147 129603 114380
674 1463 47532 -24179
1413 507 110193 -153656
375 688 69515 151985
272 1825 64538 109267
1223 1764 196140 139819
913 661 198887 -67861
73 1605 173335 12756
406 468 180433 -51614
167 1795 100427 29720
1135 331 10281 12267
1063 69 51695 -171946
1815 345 10706 34319
1211 1956 68957 -175494
1651 1621 10290 173928
1729 582 127062 4575
1577 1071 6850 94075
1578 1725 38504 -106767
591 301 97515 -117216
1492 89 94106 -120043
1435 475 101764 181649
371 1117 172746 -100880
659 1045 29376 -119712
1973 465 58087 80514
1825 801 150714 -134246
1053 1549 198061 -104255
1921 588 93324 -14089
152 1754 168366 77853
720 574 189130 -129106
962 13 2369 -116762
860 28 181442 -81289
90 1879 38315 54396
973 701 50430 -43703
1575 991 20243 125806
554 1099 88640 -73171
220 1114 78993 75043
151 1275 46686 64705
1103 1855 89847 170868
991 1257 34918 34741
628 134 168151 -146232
1918 1266 128525 -110354
1979 968 22216 -149452
1791 1325 166613 -102058
1258 563 24585 65626
385 1933 118862 -53419
1687 1166 54469 63346
1219 605 35633 -78345
1583 1653 24420 140387
465 1906 149756 14534
18 608 150074 -19671
1919 681 11661 -35441
1154 630 17621 185242
779 1833 132952 -13089
1733 1673 68024 -186781
1182 1503 180262 -29056
1788 1148 185657 153105
473 1670 17210 -48630
1149 75 71074 -145039
521 1771 176007 -101914
1205 1372 60857 125037
1787 1260 11003 -97008
1802 309 8055 56647
271 179 109012 196134
1347 1720 89147 -146115
242 1624 77346 -191904
368 1954 17691 89912
1315 1477 114584 -177784
1882 1838 34799 -180281
945 1530 42274 -100494
1079 822 184132 194105
1263 1597 66218 448
502 1464 34463 111715
131 777 77961 64108
1107 840 25689 -150800
53 1204 50575 -86064
1614 1294 131922 -43694
1039 1289 389 -20432
213 261 13523 51857
1290 1192 38984 -109591
1703 826 133616 131283
249 1245 84232 103687
1670 1915 84581 -114255
1325 221 130488 14071
1240 980 81801 103489
1003 196 95986 -42428
1951 1413 115212 -166306
330 435 160068 80603
336 964 142533 69708
902 1244 138542 150761
1513 1836 87399 -142312
1155 70 92075 20193
818 1976 143055 92566
795 773 164654 -136501
1644 595 144578 124401
133 79 22670 185109
1545 1158 51111 -51565
657 1324 155399 -177919
414 1598 118327 71674
1859 727 170918 -187507
1563 746 118596 196840
1898 177 190419 -187657
445 1393 81594 199690
531 810 61651 48055
16 597 14153 -85007
180 1965 141438 -36046
1515 1821 66617 -167361
538 188 34887 -173392
24 1001 44771 -68121
308 1585 32595 -188753
161 1410 86133 172332
1131 1927 2182 76743
1019 1193 134011 -168071
1402 557 141825 150605
1792 1651 39771 -48251
366 311 20233 -12396
1384 1017 198875 49234
1142 1068 177963 -26858
679 546 73170 30347
1590 497 57245 185945
1684 244 126380 86574
1461 343 157338 66081
470 1881 178647 -17830
777 864 168619 19761
954 32 41940 45063
1839 1160 178230 -185336
1867 267 110945 182595
1621 1453 91268 -199352
222 1281 85898 17933
865 1709 44601 53982
620 1801 40009 69990
1852 1999 190256 -188758
708 1569 187921 74637
685 876 103596 37174
1722 959 102030 119996
1875 1347 195546 144819
1443 1206 91548 169846
608 1940 181813 124997
762 1483 151594 -115443
194 928 146332 165154
941 592 34034 -91088
951 1582 28763 162692
1600 969 13865 61043
697 1171 79000 -97086
1658 1153 110046 198913
774 85 187694 35325
1562 1852 191821 -15824
1128 472 101006 -82084
763 1219 164957 -62870
603 1415 176960 -14101
37 1737 149044 132924
208 517 150076 -132505
1826 1063 184397 118726
1115 34 33593 -9887
302 1445 25174 67840
1334 308 105142 -71634
1327 1030 185710 -27690
279 994 183561 81522
457 1154 39093 88790
719 797 173461 114503
1994 753 50599 73063
870 8 126792 -9281
373 1765 81922 46758
1660 973 5121 -81387
7 527 69506 24260
3 734 186977 50370
1181 985 159229 -114531
459 1220 154187 162519
1518 1857 192226 -42978
1172 1217 126322 191691
1552 349 33904 172067
590 31 23863 54526
267 1492 73466 -30968
456 544 188104 127258
800 1265 133948 149463
759 1627 71515 71155
274 1330 7007 17237
12 1201 117437 -157363
1445 1478 47003 116017
1502 1548 141239 48086
82 555 183826 -34578
490 1645 93364 132663
989 1081 76077 86592
313 519 198041 126882
85 1514 46165 121699
261 412 168800 -128381
468 590 110755 -120599
319 1601 133461 -111843
247 1065 158430 128665
1251 86 35697 -69281
494 847 34048 -28814
812 1319 109822 -39923
939 1293 25220 -186379
700 537 110693 108088
553 988 97531 186784
1419 400 62314 86133
1508 342 5526 10613
1887 839 105483 -144001
1680 1507 178283 -183544
79 317 164638 -138635
1638 516 174346 27856
1194 553 198481 -72465
427 1602 127840 -24113
1141 171 56217 51073
1677 1516 105398 3448
1114 762 110832 -59230
1178 485 101156 52597
1813 550 175781 -110834
216 869 120436 149343
527 164 145527 -67740
320 632 7351 -77485
193 1878 129149 -140397
1831 1853 48921 -161794
741 1989 92710 -197751
1348 765 116312 174743
372 1904 158163 117484
1209 874 115584 -106418
148 1910 170383 -129491
1525 1041 177453 -104616
1694 1730 82303 -20490
1204 270 23621 -37445
964 951 100603 -105907
285 717 30300 -187089
738 866 129209 -111489
1289 354 98160 29
1480 1140 60411 184447
869 1813 19934 -89093
572 1762 29011 118482
937 860 115673 22592
1014 1957 91892 144632
58 1083 24738 -82597
326 1674 140581 39914
1956 1288 131409 190595
891 10 46088 -43360
1699 1869 165859 14241
1641 894 77212 -152156
142 201 183950 -153046
1363 1180 181119 -170993
1364 1241 119041 -96125
215 1837 65601 127381
1501 1287 27574 152455
653 109 8959 -78517
1965 833 175288 -132100
1282 548 64651 -72327
693 63 55628 92732
751 1301 33385 -7180
364 1953 158991 31502
1350 953 22266 121953
1407 9 85645 111533
1373 627 154636 99597
1895 1442 47378 12280
363 955 156730 140301
39 1861 33077 132916
486 1519 29081 -68351
1336 272 136338 -76705
156 1295 182476 155928
489 662 157876 -172862
889 1029 107808 170564
1147 982 157264 -29241
1829 1402 177618 -121233
909 789 87925 147826
1417 1013 61295 -161120
604 1928 56347 -18106
1776 1828 189149 -2175
1457 827 94099 -126285
1934 629 111699 -128607
782 787 16034 58766
956 1258 127410 -138053
1150 790 49397 -186329
232 1061 76254 -75166
758 850 95298 10556
205 1373 70250 20209
436 1181 136592 141901
387 408 34197 -35112
916 1003 128901 -5075
369 591 15050 -39971
1607 952 128451 -64652
396 1352 61629 -60496
1196 1920 22539 -5946
1533 477 45530 173830
1252 1248 132964 -68791
1900 356 143133 126437
1268 1004 111793 168173
1045 1746 77399 199629
1696 923 126174 73336
1346 1538 74375 6589
1212 255 196098 -85027
229 1851 92931 88934
223 712 199862 -130341
1763 1221 148283 158033
64 515 70206 118685
1707 1540 78529 -33953
588 1165 122995 -81753
1038 1860 20952 73023
542 115 110326 -49292
1086 1262 3049 -38285
1493 1617 53369 148413
1500 769 18487 -25344
535 452 159322 -81892
1930 785 31798 51120
1392 1032 85551 194948
1032 366 40983 -138916
390 1059 165424 -137567
362 1641 192568 60215
520 900 72323 -78157
1962 104 7507 198455
1966 260 129296 88150
532 1125 128579 52550
984 1707 149276 -197413
1303 543 190154 -142267
1321 1603 77156 -44112
306 200 17280 162811
746 1981 10748 -68812
944 998 51216 52983
776 274 29467 188417
343 348 103931 -83343
416 193 44887 164578
1950 1810 195046 111971
284 334 164752 144265
1603 1769 15988 145615
517 161 1334 84227
56 319 198005 -60018
661 643 70217 -149681
1510 281 117249 94061
651 1237 9182 117503
404 218 83084 135938
426 569 159994 -162669
1474 1000 60713 -132414
1056 1748 124121 56439
399 206 112282 187684
831 372 63047 -199136
1441 1072 73300 178702
184 1719 144099 -111961
1527 796 175458 107620
1444 571 148358 -114614
689 1659 62132 111162
1597 1329 77260 -181020
63 637 50979 -132257
1547 1520 195760 120285
1507 738 144544 -166396
1345 697 11652 -160479
1647 1647 197767 29959
610 551 10227 -32520
1810 577 118800 -160860
204 1103 84875 92944
1712 456 74663 -80143
1023 1035 147541 74554
640 451 94574 -89686
1302 647 176623 145399
89 1687 163798 -19266
80 175 49377 -12609
1758 128 13447 32137
966 37 91968 -32975
499 52 57672 177383
1560 1992 38119 73406
1539 981 77645 -64862
448 600 9339 -76313
1361 1704 165450 -48464
269 410 27996 119508
1832 1157 130778 -55592
1455 367 146648 -111158
524 1573 178976 177834
1210 1346 120814 38778
730 1391 155610 61186
99 1203 176831 92254
30 333 137705 48257
374 268 93311 113259
1477 1423 153762 19691
1122 1568 193922 -50001
629 205 79272 195838
684 1408 2267 83812
895 1950 102359 135811
1293 844 102219 -144012
1490 65 164033 148568
1015 521 194419 29969
1030 902 9128 139753
1777 1561 15994 67573
1902 441 91261 41690
886 1575 126291 61599
356 20 109939 -156047
832 1646 97978 -112423
233 106 130044 52887
1673 131 64176 112330
930 576 30984 103830
1163 1789 166520 134589
293 1696 31445 -41775
946 1686 124746 -180337
607 1755 62933 26945
594 1069 195496 -7877
1643 113 164364 156809
943 1353 124237 70294
920 306 112057 -147154
867 1048 113839 -95183
198 747 172684 -190346
1762 749 78563 159691
1472 1566 113276 30502
1860 702 8592 -158212
996 1263 62178 114918
1728 1528 54246 175875
1320 1658 182642 -37506
1074 184 86444 157282
788 1026 194282 -171303
887 409 196705 66742
482 1215 78962 -133720
108 703 45417 23519
1662 316 115380 75307
1538 17 131941 -172048
1068 843 105620 23920
206 596 90079 103893
695 1590 80646 164071
1923 794 162206 80370
1601 996 84774 117326
866 211 7622 -31999
526 162 19843 189369
59 1240 129824 56299
1981 906 165543 92938
709 1020 121255 -113461
419 556 27867 -195116
1604 243 195512 -124571
1136 1095 23708 -197463
450 1132 135633 -59174
938 307 75303 -81971
1386 172 10621 -35223
761 1126 117651 -25136
952 1129 18523 -1121
1383 398 182925 95097
1944 1076 26807 -137107
1245 1523 90687 -53658
1823 1480 179962 -12750
1239 677 8107 138869
1076 425 125408 65623
1040 1751 30810 -196211
1470 1588 154191 -82023
212 978 159319 150867
1370 1479 198365 -186782
1504 40 58542 38191
770 633 73271 48038
124 96 21896 85248
1759 56 129511 13640
1711 933 48284 -85431
199 1085 28817 -199484
1231 1033 145251 -93675
705 1312 134843 94507
1842 1443 121554 100074
394 1184 115986 99333
1942 1249 170164 162740
1853 1565 98637 74037
1144 890 90474 128934
145 1807 172222 130064
1416 1923 35794 -107826
1305 1043 183251 -185319
191 1292 162372 -55596
593 280 94703 130395
400 1315 93477 63344
263 1172 176553 28870
509 1936 127861 28962
32 1784 178667 113625
1453 1867 25030 37661
1264 1318 118348 -163301
401 126 168294 -180805
573 599 141063 58492
1099 983 165247 -199123
270 457 35295 106394
616 1143 38308 186993
1630 652 180751 120561
549 913 107378 48098
1856 388 199553 -128390
1598 838 33610 -12159
1116 977 196618 64589
1446 1074 74691 -78761
1423 800 188633 -33070
743 737 13543 138955
1700 1629 39382 -147989
847 707 65191 66550
1824 934 28833 101453
97 495 21329 69519
1682 999 129404 117122
429 1630 34325 -139725
1439 1637 137689 -136594
1571 943 191531 -45625
833 1304 162980 -132761
843 882 123989 152000
993 639 152481 -11929
183 1229 33543 -107052
291 560 23218 -5746
1206 5 153815 -128809
1065 1024 94161 -2514
515 530 82763 75740
1975 1668 59386 72749
1778 775 157698 -142056
1952 814 74304 -132382
940 1888 136081 112614
1083 1356 148595 -77312
1893 292 153885 -117352
1314 1635 26576 -117549
1227 1848 162217 118471
726 1418 154914 -127747
498 1619 32760 -131845
1200 1734 129303 30878
128 621 629 47774
1057 141 122930 -65272
209 1952 46105 -70124
575 1722 23121 182069
970 1420 127531 92487
841 1141 118321 169705
1841 151 83839 -94733
1736 1436 177240 23885
323 722 64356 -128175
584 1579 142523 32667
1390 509 68390 24666
1193 1167 79451 -105367
1866 525 133670 70962
411 379 116669 83368
1408 1581 130067 47837
1447 761 182993 -137566
1748 512 124492 -82019
876 444 195287 -23563
820 438 74585 -20406
810 1430 11540 -110496
1977 940 10253 72673
1170 1336 145714 130272
322 1614 93700 -151855
17 513 127970 77883
595 1291 161136 21359
1849 1973 7946 199067
1395 1526 90381 -191642
816 1632 30978 -124690
901 1299 58897 -169202
1938 1628 72016 -12455
1248 664 99099 154593
1075 340 191228 140501
1569 167 138958 117118
677 904 20719 126404
512 824 110109 148498
1725 908 120422 -109079
1005 651 137362 -54306
226 186 30138 153070
1184 816 164078 98425
321 488 156276 -196526
1546 422 192562 43919
1750 837 155586 -132634
1628 1380 120005 -70610
1917 535 21588 -8413
123 1563 137630 26136
1071 1403 47118 -107945
1164 1506 77023 32589
1008 350 18773 137856
1168 254 27018 -174804
958 346 151285 -14388
1310 1439 46692 149802
1344 182 172947 -119824
1273 1969 182705 73049
534 1972 93320 158151
625 235 132366 -135382
1280 873 24780 -115822
61 1858 105806 111200
1318 1456 162931 156239
1953 743 152988 106160
288 842 167554 -90706
424 1783 101843 -19295
407 1677 46710 -134263
733 232 63742 70500
1967 799 128448 -177078
830 1595 51773 -127588
1267 363 1527 -65934
1796 68 92928 171143
849 674 77286 34089
367 169 11080 -10191
1108 1887 143298 -69744
1753 1863 130470 188971
1033 220 10788 -30355
1611 1515 85633 -168479
230 30 189999 -84949
241 1101 140993 -93770
129 531 152156 119047
1438 1835 127239 150609
696 811 117878 43178
1740 1308 135717 -115431
1169 1010 196963 97860
1532 1135 24328 -175193
1494 3 31022 -77464
1388 631 41579 -167156
853 1745 137836 32325
1848 656 104796 176827
974 1592 96324 -196026
766 276 76646 -178376
1915 1689 179374 165418
1587 114 102961 -137819
130 1447 164789 -115015
219 1690 63902 192049
395 1151 59880 70444
1319 420 84618 -76454
884 771 70678 -138051
1735 541 62936 -89242
1243 948 142349 27634
1862 1959 42644 125284
1382 1401 159517 13862
442 1398 44636 178560
1883 174 7263 -167417
472 99 8106 -186585
431 217 22999 152422
1257 1109 166066 9339
979 150 93758 -192640
1797 1711 30706 -166553
149 995 5116 -29012
1559 1518 171862 -125403
192 185 76972 53525
699 282 118965 43278
1757 1930 149513 183290
1195 1985 98510 116418
403 644 160550 66658
899 1283 22801 186076
1425 1064 65005 54258
1999 1513 68324 108315
1127 145 47155 110905
898 763 152948 -160116
516 1066 19432 11376
636 1080 64575 187984
189 1600 171538 -111589
1022 1583 2993 -143932
760 1086 121583 49811
1774 699 159645 91609
295 1233 95397 87568
835 1732 141240 -76558
1730 970 122513 159584
1331 1374 100165 51671
1678 986 135339 50957
1085 936 130204 -44196
1214 1175 6477 80690
1620 561 12844 -130851
384 1834 121462 -109767
1011 606 59878 136153
597 851 1102 89912
1872 436 62080 -142975
1226 67 187586 107786
910 658 88546 85955
479 233 197853 -156294
449 1034 99119 -6727
1199 339 158942 -14153
647 893 39403 46104
1448 1031 111815 -176367
1830 1612 130531 -129877
143 1587 132855 5539
1119 1824 69112 146217
1674 613 48320 122514
1790 376 183713 -179830
1300 547 60678 191006
1124 883 19823 -145371
771 407 2921 -84850
1379 624 24045 -188157
1175 1133 118000 -151426
1133 993 182438 -84102
1234 1876 115985 -20020
1935 1473 61628 167981
251 1872 21180 -102159
402 26 8750 96443
338 1060 47038 -166676
84 454 29180 133063
694 526 95339 181196
1283 659 128255 156046
203 1870 163955 134170
1031 1882 97482 -135005
418 199 40526 -24115
168 257 26425 182229
1691 1798 52509 -14754
328 140 57766 -39343
882 1358 6354 -21954
75 370 9656 -77917
1192 1776 182358 134088
581 375 127042 -192048
1916 466 173916 72350
1964 1527 110916 -90059
568 1873 153886 89048
1387 312 184614 2177
1752 1051 167184 160618
1048 950 155377 51105
471 671 190123 199661
1274 1943 48014 1165
912 806 133116 97008
1424 16 135514 -54543
716 149 94506 -14921
1768 265 185754 14925
1308 411 40538 -147463
918 1537 72523 -7390
1349 931 728 40803
1479 696 82924 2994
1564 1280 31772 -10295
1309 579 35814 -16563
1576 1093 113148 179295
1269 1052 104188 163695
1574 881 67754 -12924
1983 976 96684 -192276
1497 721 68612 25339
1259 1050 196919 -35056
1941 112 182245 -186430
1913 1816 114369 -163717
855 1684 57687 79694
1958 1462 154666 -130122
1991 1671 155937 6489
275 937 57187 68212
1129 1761 48668 -194391
1125 1012 41740 23051
1865 1381 123192 -44672
1619 315 134810 139473
169 911 54750 -11774
444 1395 171547 27451
1517 607 46370 27654
412 944 182045 -190843
1855 226 93707 -151185
1549 823 27600 -60258
1681 1331 23326 -37762
735 1198 122802 160971
601 390 31252 124296
1109 1613 32471 63905
1734 1411 77499 -16632
1087 1874 45268 135171
736 916 137458 90422
1222 1118 79741 39000
23 396 52837 -161581
1337 1344 67895 96578
986 1019 146616 -90201
1016 942 39982 -156326
1486 279 71171 60112
1242 975 62477 176395
48 101 115486 44478
556 1966 165517 -142232
1270 505 178573 96788
257 1470 34273 -72275
1101 499 51478 -107627
548 1767 108920 -93833
1118 1446 157089 -23632
780 361 158927 158192
903 395 138928 -154364
1959 98 89553 -97113
923 478 116252 132902
1018 35 36277 -30000
935 1424 44356 -19090
244 1912 189507 -33545
814 1073 139185 190277
485 314 34930 -67053
188 284 108264 -110513
423 754 163218 -84934
415 1778 161756 83530
1089 1361 44158 39265
1920 1277 60089 -54107
1017 782 192955 -115798
1929 299 106948 -192183
1634 540 69383 36465
1854 1493 106885 -195284
1927 1908 18486 53225
1495 1367 85555 -46081
1207 1054 44392 125785
850 500 121804 160734
917 471 124202 -5860
1688 160 26872 199418
1528 1633 127775 43712
550 365 141940 95560
1980 318 83610 -165334
1817 1134 45344 -165073
745 1369 179790 -79514
1985 1309 183862 31195
672 534 166899 -26639
504 242 75770 45281
283 1903 165752 25113
140 1021 114486 -135184
1803 1652 21227 -163448
1584 1669 125254 12092
815 1452 86022 -199759
1911 1994 127630 -162537
68 1279 120081 138417
2 1890 158767 -33310
1772 1914 121501 151838
478 786 39563 85342
1744 288 23942 176647
547 1364 154127 152418
1464 1186 115561 -9368
1189 939 46463 -129504
491 609 19383 31789
52 910 92720 -76782
1275 845 158800 -33813
141 1716 179084 161697
1530 1235 113794 -137404
1535 903 71621 -182910
29 1046 149146 -12015
331 1434 14958 122678
1784 15 155467 -163042
278 1251 162785 -83328
1672 971 2718 49226
1653 1038 191980 -50471
544 1552 188968 -78118
1780 919 138404 -114312
422 347 17973 105700
514 1023 181033 10684
178 124 154007 -77777
1100 1189 157444 -57944
775 1272 152653 -39092
1843 53 17354 -49153
541 207 124450 51283
1431 428 199134 23613
1665 1104 81459 -166796
1343 1300 41576 -146412
60 1450 93419 80549
1185 675 122018 -140821
217 1918 171317 109021
1716 1618 198210 110666
1857 359 61116 -25609
885 511 8961 113593
1353 870 60474 -180841
1798 645 120926 1785
1561 453 170796 -9175
146 1559 107714 77483
446 231 98516 164548
1332 197 193855 -122845
612 1948 54623 -167083
1827 529 125377 -121748
305 1340 24360 117073
455 1531 139950 129564
1645 1654 36772 182019
1145 1379 35630 -59146
